facet_value_id,facet_id,term,snomed_attribute,active,effective_from,target_code,correlation
MTH-0001,method,Excision,Method,1,2026-08-07,,
MTH-0002,method,Partial excision,Method,1,2026-08-07,,
MTH-0003,method,Biopsy,Method,1,2026-08-07,,
MTH-0004,method,Incision,Method,1,2026-08-07,,
MTH-0005,method,Drainage,Method,1,2026-08-07,,
MTH-0006,method,Evacuation,Method,1,2026-08-07,,
MTH-0007,method,Insertion,Method,1,2026-08-07,,
MTH-0008,method,Removal,Method,1,2026-08-07,,
MTH-0009,method,Revision,Method,1,2026-08-07,,
MTH-0010,method,Repair,Method,1,2026-08-07,,
MTH-0011,method,Decompression,Method,1,2026-08-07,,
MTH-0012,method,Fixation,Method,1,2026-08-07,,
MTH-0013,method,Fusion,Method,1,2026-08-07,,
MTH-0014,method,Occlusion,Method,1,2026-08-07,,
MTH-0015,method,Anastomosis,Method,1,2026-08-07,,
MTH-0016,method,Destruction,Method,1,2026-08-07,,
MTH-0017,method,Reduction,Method,1,2026-08-07,,
MTH-0018,method,Debridement,Method,1,2026-08-07,,
MTH-0019,method,Reconstruction,Method,1,2026-08-07,,
MTH-0020,method,Release,Method,1,2026-08-07,,
MTH-0021,method,Transposition,Method,1,2026-08-07,,
MTH-0022,method,Fenestration,Method,1,2026-08-07,,
SIT-0001,site,Cerebral hemisphere,Procedure site - Direct,1,2026-08-07,,
SIT-0002,site,Frontal lobe,Procedure site - Direct,1,2026-08-07,,
SIT-0003,site,Temporal lobe,Procedure site - Direct,1,2026-08-07,,
SIT-0004,site,Cerebellopontine angle,Procedure site - Direct,1,2026-08-07,,
SIT-0005,site,Posterior cranial fossa,Procedure site - Direct,1,2026-08-07,,
SIT-0006,site,Cerebellum,Procedure site - Direct,1,2026-08-07,,
SIT-0007,site,Pituitary fossa,Procedure site - Direct,1,2026-08-07,,
SIT-0008,site,Anterior skull base,Procedure site - Direct,1,2026-08-07,,
SIT-0009,site,Lateral ventricle,Procedure site - Direct,1,2026-08-07,,
SIT-0010,site,Third ventricle,Procedure site - Direct,1,2026-08-07,,
SIT-0011,site,Subdural space,Procedure site - Direct,1,2026-08-07,,
SIT-0012,site,Extradural space,Procedure site - Direct,1,2026-08-07,,
SIT-0013,site,Subarachnoid space,Procedure site - Direct,1,2026-08-07,,
SIT-0014,site,Skull,Procedure site - Direct,1,2026-08-07,,
SIT-0015,site,Scalp,Procedure site - Direct,1,2026-08-07,,
SIT-0016,site,Cerebral artery,Procedure site - Direct,1,2026-08-07,,
SIT-0017,site,Dura mater,Procedure site - Direct,1,2026-08-07,,
SIT-0018,site,Brain,Procedure site - Direct,1,2026-08-07,,
SIT-0019,site,Cervical vertebral column,Procedure site - Direct,1,2026-08-07,,
SIT-0020,site,Thoracic vertebral column,Procedure site - Direct,1,2026-08-07,,
SIT-0021,site,Lumbar vertebral column,Procedure site - Direct,1,2026-08-07,,
SIT-0022,site,Craniocervical junction,Procedure site - Direct,1,2026-08-07,,
SIT-0023,site,Spinal cord,Procedure site - Direct,1,2026-08-07,,
SIT-0024,site,Cauda equina,Procedure site - Direct,1,2026-08-07,,
SIT-0025,site,Intervertebral disc,Procedure site - Direct,1,2026-08-07,,
SIT-0026,site,Spinal epidural space,Procedure site - Direct,1,2026-08-07,,
SIT-0027,site,Vertebral body,Procedure site - Direct,1,2026-08-07,,
SIT-0028,site,Peripheral nerve,Procedure site - Direct,1,2026-08-07,,
SIT-0029,site,Median nerve,Procedure site - Direct,1,2026-08-07,,
SIT-0030,site,Ulnar nerve,Procedure site - Direct,1,2026-08-07,,
SIT-0031,site,Trigeminal nerve,Procedure site - Direct,1,2026-08-07,,
SIT-0032,site,Lumbar subarachnoid space,Procedure site - Direct,1,2026-08-07,,
APP-0001,approach,Craniotomy,Surgical approach,1,2026-08-07,,
