concept_id,fsn,preferred_term,subspecialty,method_id,method,site_id,procedure_site,approach_id,surgical_approach,device_id,device,morphology_id,morphology,default_intent_id,laterality_applicable,revision_applicable,level_applicable,level_kind,level_regions,active,inactivation_reason,replaced_by,effective_from,effective_to,catalogue_release
NSX-00000,Procedure not represented in the catalogue (procedure),Uncoded procedure,uncoded,,,,,,,,,,,,0,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00001,Burr hole drainage of chronic subdural haematoma (procedure),Burr hole drainage chronic SDH,cranial-trauma,MTH-0005,Drainage,SIT-0011,Subdural space,APP-0003,Burr hole,,,MOR-0012,Chronic subdural haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00002,Twist drill craniostomy and drainage of subdural collection (procedure),Twist drill subdural drainage,cranial-trauma,MTH-0005,Drainage,SIT-0011,Subdural space,APP-0004,Twist drill craniostomy,,,MOR-0012,Chronic subdural haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00003,Craniotomy and evacuation of acute subdural haematoma (procedure),Craniotomy acute SDH evacuation,cranial-trauma,MTH-0006,Evacuation,SIT-0011,Subdural space,APP-0001,Craniotomy,,,MOR-0011,Acute subdural haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00004,Craniotomy and evacuation of extradural haematoma (procedure),Craniotomy EDH evacuation,cranial-trauma,MTH-0006,Evacuation,SIT-0012,Extradural space,APP-0001,Craniotomy,,,MOR-0013,Extradural haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00005,Craniotomy and evacuation of traumatic intracerebral haematoma (procedure),Craniotomy ICH evacuation traumatic,cranial-trauma,MTH-0006,Evacuation,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0014,Intracerebral haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00006,Unilateral decompressive craniectomy for trauma (procedure),Decompressive craniectomy unilateral traumatic,cranial-trauma,MTH-0011,Decompression,SIT-0014,Skull,APP-0002,Decompressive craniectomy,,,,,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00007,Bifrontal decompressive craniectomy (procedure),Bifrontal decompressive craniectomy,cranial-trauma,MTH-0011,Decompression,SIT-0014,Skull,APP-0009,Bifrontal,,,,,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00008,Elevation of depressed skull fracture (procedure),Elevation depressed skull fracture,cranial-trauma,MTH-0017,Reduction,SIT-0014,Skull,APP-0019,Open direct exposure,,,MOR-0026,Depressed skull fracture,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00009,Repair of anterior skull base cerebrospinal fluid leak (procedure),Anterior skull base CSF leak repair,cranial-trauma,MTH-0010,Repair,SIT-0008,Anterior skull base,APP-0008,Subfrontal,DEV-0018,Dural graft,MOR-0027,Cerebrospinal fluid leak,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00010,Cranioplasty using autologous bone flap (procedure),Cranioplasty autologous,cranial-trauma,MTH-0019,Reconstruction,SIT-0014,Skull,APP-0019,Open direct exposure,DEV-0014,Autologous bone flap,,,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00011,Cranioplasty using synthetic implant (procedure),Cranioplasty synthetic,cranial-trauma,MTH-0019,Reconstruction,SIT-0014,Skull,APP-0019,Open direct exposure,DEV-0013,Cranioplasty implant,,,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00012,Insertion of intracranial pressure monitor (procedure),ICP monitor insertion,cranial-trauma,MTH-0007,Insertion,SIT-0018,Brain,APP-0003,Burr hole,DEV-0005,Intracranial pressure monitor,,,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00013,Insertion of external ventricular drain (procedure),External ventricular drain insertion,cranial-csf,MTH-0007,Insertion,SIT-0009,Lateral ventricle,APP-0003,Burr hole,DEV-0004,External ventricular drain catheter,MOR-0028,Hydrocephalus,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00014,Craniotomy and excision of supratentorial intra-axial tumour (procedure),Craniotomy supratentorial tumour excision,cranial-tumour,MTH-0001,Excision,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0006,Glioma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00015,Craniotomy and partial excision of supratentorial intra-axial tumour (procedure),Craniotomy supratentorial tumour debulking,cranial-tumour,MTH-0002,Partial excision,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0006,Glioma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00016,Craniotomy and excision of convexity meningioma (procedure),Craniotomy convexity meningioma excision,cranial-tumour,MTH-0001,Excision,SIT-0017,Dura mater,APP-0001,Craniotomy,,,MOR-0002,Meningioma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00017,Craniotomy and excision of skull base meningioma (procedure),Craniotomy skull base meningioma excision,cranial-tumour,MTH-0001,Excision,SIT-0008,Anterior skull base,APP-0005,Pterional,,,MOR-0002,Meningioma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00018,Retrosigmoid craniotomy and excision of cerebellopontine angle tumour (procedure),Retrosigmoid CPA tumour excision,cranial-tumour,MTH-0001,Excision,SIT-0004,Cerebellopontine angle,APP-0006,Retrosigmoid,,,MOR-0003,Vestibular schwannoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00019,Suboccipital craniotomy and excision of posterior fossa tumour (procedure),Suboccipital posterior fossa tumour excision,cranial-tumour,MTH-0001,Excision,SIT-0005,Posterior cranial fossa,APP-0007,Suboccipital midline,,,MOR-0001,Neoplasm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00020,Endoscopic transsphenoidal excision of pituitary adenoma (procedure),Endoscopic transsphenoidal pituitary excision,cranial-tumour,MTH-0001,Excision,SIT-0007,Pituitary fossa,APP-0011,Endoscopic transsphenoidal,,,MOR-0004,Pituitary adenoma,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00021,Craniotomy and excision of intracranial metastasis (procedure),Craniotomy metastasis excision,cranial-tumour,MTH-0001,Excision,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0005,Intracranial metastasis,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00022,Craniotomy and excision of intraventricular tumour (procedure),Craniotomy intraventricular tumour excision,cranial-tumour,MTH-0001,Excision,SIT-0009,Lateral ventricle,APP-0020,Interhemispheric,,,MOR-0007,Intraventricular neoplasm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00023,Stereotactic biopsy of intracranial lesion (procedure),Stereotactic brain biopsy,cranial-tumour,MTH-0003,Biopsy,SIT-0018,Brain,APP-0013,Stereotactic,,,MOR-0001,Neoplasm,INT-0002,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00024,Open biopsy of intracranial lesion (procedure),Open brain biopsy,cranial-tumour,MTH-0003,Biopsy,SIT-0018,Brain,APP-0001,Craniotomy,,,MOR-0001,Neoplasm,INT-0002,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00025,Awake craniotomy with cortical mapping and tumour resection (procedure),Awake craniotomy tumour resection,cranial-tumour,MTH-0001,Excision,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0006,Glioma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00026,Craniotomy and clipping of intracranial aneurysm (procedure),Craniotomy aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0016,Cerebral artery,APP-0005,Pterional,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00027,Craniotomy and excision of cerebral arteriovenous malformation (procedure),Craniotomy AVM excision,cranial-vascular,MTH-0001,Excision,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0016,Arteriovenous malformation,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00028,Craniotomy and excision of cerebral cavernous malformation (procedure),Craniotomy cavernoma excision,cranial-vascular,MTH-0001,Excision,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0017,Cavernous malformation,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00029,Craniotomy and evacuation of spontaneous intracerebral haematoma (procedure),Craniotomy spontaneous ICH evacuation,cranial-vascular,MTH-0006,Evacuation,SIT-0001,Cerebral hemisphere,APP-0001,Craniotomy,,,MOR-0014,Intracerebral haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00030,Decompressive craniectomy for malignant middle cerebral artery infarction (procedure),Decompressive craniectomy malignant MCA,cranial-vascular,MTH-0011,Decompression,SIT-0014,Skull,APP-0002,Decompressive craniectomy,,,MOR-0029,Malignant middle cerebral artery infarction,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00031,Superficial temporal artery to middle cerebral artery bypass (procedure),STA-MCA bypass,cranial-vascular,MTH-0015,Anastomosis,SIT-0016,Cerebral artery,APP-0001,Craniotomy,,,,,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00032,Insertion of ventriculoperitoneal shunt (procedure),Ventriculoperitoneal shunt insertion,cranial-csf,MTH-0007,Insertion,SIT-0009,Lateral ventricle,APP-0003,Burr hole,DEV-0001,Ventriculoperitoneal shunt system,MOR-0028,Hydrocephalus,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00033,Revision of ventriculoperitoneal shunt (procedure),Ventriculoperitoneal shunt revision,cranial-csf,MTH-0009,Revision,SIT-0009,Lateral ventricle,APP-0003,Burr hole,DEV-0001,Ventriculoperitoneal shunt system,MOR-0028,Hydrocephalus,INT-0001,1,0,0,,,1,,,2026-08-07,,v2026.1
