concept_id,term,language,is_abbreviation,active,effective_from
NSX-00001,chronic SDH,en,0,1,2026-08-07
NSX-00001,CSDH,en,1,1,2026-08-07
NSX-00001,burr hole SDH,en,0,1,2026-08-07
NSX-00002,twist drill,en,0,1,2026-08-07
NSX-00002,TDC,en,1,1,2026-08-07
NSX-00003,acute SDH,en,0,1,2026-08-07
NSX-00003,ASDH,en,1,1,2026-08-07
NSX-00003,crani SDH,en,0,1,2026-08-07
NSX-00004,EDH,en,1,1,2026-08-07
NSX-00004,epidural haematoma,en,0,1,2026-08-07
NSX-00004,extradural,en,0,1,2026-08-07
NSX-00005,traumatic ICH,en,0,1,2026-08-07
NSX-00005,contusion evacuation,en,0,1,2026-08-07
NSX-00006,DC,en,1,1,2026-08-07
NSX-00006,hemicraniectomy,en,0,1,2026-08-07
NSX-00006,decompressive crani,en,0,1,2026-08-07
NSX-00007,bifrontal DC,en,0,1,2026-08-07
NSX-00007,Kjellberg,en,0,1,2026-08-07
NSX-00008,depressed fracture,en,0,1,2026-08-07
NSX-00008,elevation fracture,en,0,1,2026-08-07
NSX-00009,CSF leak repair,en,0,1,2026-08-07
NSX-00009,rhinorrhoea repair,en,0,1,2026-08-07
NSX-00010,cranioplasty,en,0,1,2026-08-07
NSX-00010,bone flap replacement,en,0,1,2026-08-07
NSX-00011,titanium cranioplasty,en,0,1,2026-08-07
NSX-00011,PMMA cranioplasty,en,0,1,2026-08-07
NSX-00012,ICP bolt,en,0,1,2026-08-07
NSX-00012,ICP monitor,en,0,1,2026-08-07
NSX-00012,Codman,en,0,1,2026-08-07
NSX-00013,EVD,en,1,1,2026-08-07
NSX-00013,ventriculostomy,en,0,1,2026-08-07
NSX-00013,external drain,en,0,1,2026-08-07
NSX-00014,glioma resection,en,0,1,2026-08-07
NSX-00014,brain tumour excision,en,0,1,2026-08-07
NSX-00014,crani tumour,en,0,1,2026-08-07
NSX-00015,debulking,en,0,1,2026-08-07
NSX-00015,subtotal resection,en,0,1,2026-08-07
NSX-00016,convexity meningioma,en,0,1,2026-08-07
NSX-00017,sphenoid wing meningioma,en,0,1,2026-08-07
NSX-00017,skull base meningioma,en,0,1,2026-08-07
NSX-00018,acoustic neuroma,en,0,1,2026-08-07
NSX-00018,vestibular schwannoma,en,0,1,2026-08-07
NSX-00018,CPA tumour,en,0,1,2026-08-07
NSX-00019,posterior fossa tumour,en,0,1,2026-08-07
NSX-00019,PF tumour,en,0,1,2026-08-07
NSX-00020,TSS,en,1,1,2026-08-07
NSX-00020,transsphenoidal,en,0,1,2026-08-07
NSX-00020,pituitary surgery,en,0,1,2026-08-07
NSX-00021,brain met excision,en,0,1,2026-08-07
NSX-00021,metastasectomy,en,0,1,2026-08-07
NSX-00022,intraventricular tumour,en,0,1,2026-08-07
NSX-00023,stereotactic biopsy,en,0,1,2026-08-07
NSX-00023,frame biopsy,en,0,1,2026-08-07
NSX-00023,needle biopsy brain,en,0,1,2026-08-07
NSX-00024,open biopsy,en,0,1,2026-08-07
NSX-00025,awake crani,en,0,1,2026-08-07
NSX-00025,cortical mapping,en,0,1,2026-08-07
NSX-00026,aneurysm clipping,en,0,1,2026-08-07
